"STATUS_0","Incomplete or invalid"
"Order declined on ops side. Ingenico ePayments status: %s, Payment ID: %s.","Order declined on ops side. Ingenico ePayments status: %s, Payment ID: %s."
"Order can not be saved for system reason.","Order can not be saved for system reason."
"An unknown exception occured.","An unknown exception occured."
"A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments status: %s.","A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments status: %s."
"An unknown exception was thrown in the payment process. Ingenico ePayments status: %s.","An unknown exception was thrown in the payment process. Ingenico ePayments status: %s."
"Waiting for the payment of the customer","Waiting for the payment of the customer"
"Authorization waiting from Ingenico ePayments","Authorization waiting from Ingenico ePayments"
"Processed by Ingenico ePayments","Processed by Ingenico ePayments"
"Waiting for payment. Ingenico ePayments status: %s.","Waiting for payment. Ingenico ePayments status: %s."
"Authorization waiting. Ingenico ePayments status: %s.","Authorization waiting. Ingenico ePayments status: %s."
"Authorization uncertain. Ingenico ePayments status: %s.","Authorization uncertain. Ingenico ePayments status: %s."
"Processed by Ingenico ePayments. Payment ID: %s. Ingenico ePayments status: %s.","Processed by Ingenico ePayments. Payment ID: %s. Ingenico ePayments status: %s."
"Ingenico ePayments server is temporarily not available, please try again later.","Ingenico ePayments server is temporarily not available, please try again later."
"An error occured during the Ingenico ePayments request. Your action could not be executed. Message: '%s'.","An error occured during the Ingenico ePayments request. Your action could not be executed. Message: '%s'."
"You already sent a capture request. Please wait until the capture request is acknowledged.","You already sent a capture request. Please wait until the capture request is acknowledged."
"There is one void request waiting. Please wait until this request is acknowledged.","There is one void request waiting. Please wait until this request is acknowledged."
"Start Ingenico ePayments %s capture request","Start Ingenico ePayments %s capture request"
"Invoice will be created automatically as soon as Ingenico ePayments sends an acknowledgement. Ingenico ePayments status: %s.","Invoice will be created automatically as soon as Ingenico ePayments sends an acknowledgement. Ingenico ePayments status: %s."
"The Invoice will be created automatically as soon as Ingenico ePayments sends an acknowledgement.","The Invoice will be created automatically as soon as Ingenico ePayments sends an acknowledgement."
"The Invoice was not created. Ingenico ePayments status: %s.","The Invoice was not created. Ingenico ePayments status: %s."
"The CreditMemo was not created. Ingenico ePayments status: %s.","The CreditMemo was not created. Ingenico ePayments status: %s."
"The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement.","The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement.","There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement."
"Please use void to cancel the operation.","Please use void to cancel the operation."
"You already sent a void request. Please wait until the void request will be acknowledged.","You already sent a void request. Please wait until the void request will be acknowledged."
"There is one capture request waiting. Please wait until this request is acknowledged.","There is one capture request waiting. Please wait until this request is acknowledged."
"The void request is sent. Please wait until the void request will be accepted.","The void request is sent. Please wait until the void request will be accepted."
"Void order succeed. Ingenico ePayments status: %s.","Void order succeed. Ingenico ePayments status: %s."
"Void order failed. Ingenico ePayments status: %s.","Void order failed. Ingenico ePayments status: %s."
"Authorization","Authorization"
"Direct Sale","Direct Sale"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"Verical list","Verical list"
"You will be redirected to the payment page after the order confirmation.","You will be redirected to the payment page after the order confirmation."
"Payment failed. Please select another payment method.","Payment failed. Please select another payment method."
"Payment failed. Please review your input or select another payment method.","Payment failed. Please review your input or select another payment method."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Credit Card Type","Credit Card Type"
"Name on Card","Name on Card"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Account holder","Account holder"
"Account number","Account number"
"Bank code","Bank code"
"BCMC","Bancontact/Mister Cash"
"You will be redirected to Ingenico ePayments website when you place an order.","You will be redirected to Ingenico ePayments website when you place an order."
"Please wait a moment. This page will transfer your data to Ingenico ePayments payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to Ingenico ePayments payment gateway in a few seconds."
"An error occured during 3D-Secure processing of Ingenico ePayments. Error: %s","Error during 3D-Secure processing of Ingenico ePayments. Error: %s"
"PSPID is a case sensitive field","PSPID is a case sensitive field"
"SHA-IN Pass phrase","SHA-IN Pass phrase"
"Only alphanumeric characters, not longer than 20 characters. Refer to Ingenico ePayments's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Only alphanumeric characters, not longer than 20 characters. Refer to Ingenico ePayments's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>."
"SHA-OUT Pass phrase","SHA-OUT Pass phrase"
"Only alphanumeric characters, not longer than 20 characters. Refer to Ingenico ePayments's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","Only alphanumeric characters, not longer than 20 characters. Refer to Ingenico ePayments's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>."
"Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp","Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp"
"Test url example: https://ogone.test.v-psp.com/Tokenization/HostedPage<br />Production url example: https://secure.ogone.com/Tokenization/HostedPage","Test url example: https://ogone.test.v-psp.com/Tokenization/HostedPage<br />Production url example: https://secure.ogone.com/Tokenization/HostedPage"
"Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp","Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp","Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp"
"API User","API User"
"API Password","API Password"
"Payment Action","Payment Action"
"If you choose 'Ingenico ePayments', you will need to fill in all the following fields.","If you choose 'Ingenico ePayments', you will need to fill in all the following fields."
"Payment Template","Payment Template"
"Title of the Ingenico ePayments Template","Title of the Ingenico ePayments Template"
"Background Color of Ingenico ePayments Template","Background Color of Ingenico ePayments Template"
"Text Color of the Ingenico ePayments Template","Text Color of the Ingenico ePayments Template"
"Table Background Color of the Ingenico ePayments Template","Table Background Color of the Ingenico ePayments Template"
"Table Text Color of the Ingenico ePayments Template","Table Text Color of the Ingenico ePayments Template"
"Button Background Color of the Ingenico ePayments Template","Button Background Color of the Ingenico ePayments Template"
"Button Text Color of the Ingenico ePayments Template","Button Text Color of the Ingenico ePayments Template"
"Font Family of the Ingenico ePayments Template","Font Family of the Ingenico ePayments Template"
"Logo of the Ingenico ePayments Template","Logo of the Ingenico ePayments Template"
"Layout of Payment Methods","Layout of Payment Methods"
"e.g: white","e.g: white"
"e.g: black","e.g: black"
"e.g: Verdana","e.g: Verdana"
"Debug","Debug"
"Ingenico ePayments Account","Ingenico ePayments Account"
"devprefix", "Prefix for parameter ORDERID"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/filename of the logo. The URL must be absolute and stored on a secure server."
"Countries","Countries"
"Enabled Card Types","Enabled Card Types"
"Enable 3D secure","Enable 3D secure"
"OWNERADDRESS","Invoiced customer's address"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","House number of invoicing address"
"ECOM_SHIPTO_POSTAL_STREET_LINE1","Delivery address"
"ECOM_SHIPTO_POSTAL_STREET_NUMBER","Delivery house number"
"Please make sure that your street and house number are correct!","Please make sure that your street and house number are correct!"
"Brand", "Brand"
"Add Brand", "Add Brand"
"Add one or more brands. In field 'BRAND' you will have to enter the value you got from Ingenico ePayments.", "Add one or more brands. In field 'BRAND' you will have to enter the value you got from Ingenico ePayments."
"Title", "Title"
"Please select a brand", "Please select a brand"
"Attention: This may be an attempt to defraud!","Attention: This may be an attempt to defraud!"
"This might be a fraud attempt. Please check details for more information.", "This might be a fraud attempt. Please check details for more information."
"Scoring Category: G","Scoring Categorie: G (Green)"
"Scoring Category: O","Scoring Categorie: O (Orange)"
"Scoring Value: %s","Scoring Value: %s"
"SCORING_DESCRIPTION_AAVCHECK","Result of the automatic address verification. This verification is currently supported by American Express only.<br /><br />Possible values:<br /><br />KO: The address has been sent but the acquirer has given a negative response for the address check, i.e. the address is wrong.<br />OK: The address has been sent and the acquirer has returned a positive response for the address check, i.e. the address is correct.<br />NO: All other cases. For instance, no address transmitted."
"SCORING_DESCRIPTION_CVCCHECK","Result of the card verification code check.<br /><br />Possible values:<br /><br />KO: The CVC has been sent but the acquirer has given a negative response to the CVC check, i.e. the CVC is wrong.<br />OK: The CVC has been sent and the acquirer has given a positive response to the CVC check, i.e. the CVC is correct.<br />NO: All other cases. For instance, no CVC transmitted."
"SCORING_DESCRIPTION_CCCTY","Country where the card was issued"
"SCORING_DESCRIPTION_IPCTY","Originating country of the IP address"
"SCORING_DESCRIPTION_NBREMAILUSAGE","Number of times an email address has been used over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE","Number of times an IP address has been used for successful transactions over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX","Number of times an IP address has been used for successful and/or declined transactions over a certain period"
"SCORING_DESCRIPTION_NBRUSAGE","Number of times a credit card has been used over a certain period"
"SCORING_DESCRIPTION_VC","Virtual Card"
"SCORING_DESCRIPTION_CARDNO","Card number or account number"
"SCORING_DESCRIPTION_ED","Expiry date"
"SCORING_DESCRIPTION_CN","Card holder name"
"Sofort Uberweisung","SOFORT Überweisung"
"DirectEbanking", "sofortüberweisung.de"
"DirectEbankingAT", "SOFORT Überweisung (AT)"
"DirectEbankingBE", "SOFORT Überweisung (BE)"
"DirectEbankingCH", "SOFORT Überweisung (CH)"
"DirectEbankingDE", "SOFORT Überweisung (DE)"
"DirectEbankingFR", "SOFORT Überweisung (FR)"
"DirectEbankingGB", "SOFORT Überweisung (GB)"
"Card Verification Number","CVC / Issue number"
"Invalid payment information provided!", "Invalid payment information provided!"
"Unknown Ingenico ePayments state for this order. Please check Ingenico ePayments backend for this order.", "Unknown Ingenico ePayments state for this order. Please check Ingenico ePayments backend for this order."
"The order was cancelled manually. The Ingenico ePayments-state is 0 or null.","The order was cancelled manually. The Ingenico ePayments-state is 0 or null."
"Last refund (Close payment transaction)", "Last refund (Close payment transaction)"
"Only offline refund is available, since Ingenico ePayments transaction is already closed.", "Only offline refund is available, since Ingenico ePayments transaction is already closed."
"Order reference in case of redirect payments", "Order reference in case of redirect payments"
"Order reference in case of inline payments", "Order reference in case of inline payments"
"See chapter 'Configuration', section 'Magento - Backend' in the documentation. Please note that the option 'orderId' is not used for the Kwixo payment methods.", "See chapter 'configuration', section 'Magento - Backend in the documentation'. Please note that the option 'orderId' is not used for the Kwixo payment methods."
"See chapter 'Configuration', section 'Magento - Backend' in the documentation.","See chapter 'configuration', section 'Magento - Backend' in the documentation."
"quote id", "Quote ID"
"order id", "Order ID"
"Enable tracking code", "Enable tracking code for fraud detection"
"Delete","delete"
"active","active"
"Action","Action"
"pending", "pending"
"Kwixo Category Mapping", "Kwixo Category Mapping"
"Please note that a proper category mapping is necessary in order to use this payment method", "Please note that a proper category mapping is necessary in order to use this payment method"
"ECOM_SHIPTO_TELECOM_PHONE_NUMBER", "Delivery customer's phone number"
"ECOM_SHIPTO_POSTAL_NAME_PREFIX", "Delivery customer's salutation"
"CIVILITY", "Invoiced customer's salutation"
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico ePayments before. By cancelling this order you won\'t be able to update the status in Magento anymore.", "Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico ePayments before. By cancelling this order you won\'t be able to update the status in Magento anymore."
"Error transaction count is %s instead of 1 for the Payid '%s'", "Error transaction count is %s instead of 1 for the Payid '%s'"
"--Please select--","--Please select--"
"Pick up at merchant","Pick up at merchant"
"Collection point (Kiala...)","Collection point (Kiala...)"
"Collect at airport, train station or travel agency","Collect at airport, train station or travel agency"
"Transporter (La Poste, UPS...)","Transporter (La Poste, UPS...)"
"Download","Download"
"Food & gastronomy","Food & gastronomy"
"Car & Motorbike", "Car & Motorbike"
"Culture & leisure","Culture & leisure"
"Home & garden","Home & garden"
"Appliances","Appliances"
"Auctions and bulk purchases","Auctions and bulk purchases"
"Flowers & gifts","Flowers & gifts"
"Computer & software","Computer & software"
"Health & beauty","Health & beauty"
"Services for individuals","Services for individuals"
"Services for professionals","Services for professionals"
"Sports", "Sports"
"Clothing & accessories", "Clothing & accessories"
"Travel & tourism","Travel & tourism"
"Hifi, photo & video","Hifi, photo & video"
"Telephony & communication","Telephony & communication"
"Jewelry & precious metals","Jewelry & precious metals"
"Baby articles and accessories","Baby articles and accessories"
"Sound & light","Sound & light"
"Ingenico ePayments server is temporarily not available", "Ingenico ePayments server is temporarily not available"
"Country", "Country"
"Enable redirect payment for all card types", "Enable redirect payment for all card types"
"Enable inline payment (Direct Link) for these card types", "Enable inline payment (Direct Link) for these card types"
"Miscellaneous Countries", "Miscellaneous Countries"
"Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico ePayments side, it's not possible to perform partial captures.", "Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico ePayments side, it's not possible to perform partial captures."
"Your details", "Your details"
"Ingenico ePayments Payment failed", "Ingenico ePayments Payment failed"
"Enable for backend", "Enable for backend"
"Sort Order for backend", "Sort Order for backend"
"Existing Ingenico ePayments transaction", "Existing Ingenico ePayments transaction"
"Ingenico ePayments payment id", "Ingenico ePayments payment id"
"Please use this method for the following brands only:", "Please use this method for the following brands only:"
"Payment using 3D secure is not supported.", "Payment using 3D secure is not supported."
"My payment information", "My payment information"
"Payment Method", "Payment Method"
"Card Number/Account Number", "Card Number/Account Number"
"expires: %s", "expires: %s"
"Save payment information", "Save payment information"
"You don't want to enter your payment information again? Just %s to save your credit card information securely!", "You don't want to enter your payment information again? Just %s to save your credit card information securely!"
"register", "register"
"Removed alias %s.", "Removed alias %s."
"Could not remove alias %s.", "Could not remove alias %s."
"Show information for guests", "Show information for guests"
"If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction.", "If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction."
"Show Quote ID in the order grid", "Show Quote ID in the order grid"
"The ID of Tracker Application Account.", "The ID of Tracker Application Account."
"Enabled Alias Manager", "Enabled Alias Manager"
"Show Alias Manager information for guests", "Show Alias Manager information for guests"
"State", "State"
"Card Holder", "Card Holder"
"You did not save any payment information, yet.", "You did not save any payment information, yet."
"Please make sure that the displayed data is correct.", "Please make sure that the displayed data is correct."
"Year of Expiration Date", "Year of Expiration Date"
"Month of Expiration Date", "Month of Expiration Date"
"Kwixo category", "Kwixo category"
"Apply to sub-categories", "Apply to sub-categories"
"Categories configuration", "Categories configuration"
"Categorie's %s configuration", "Categorie's %s configuration"
"Estimated Delivery Date", "Estimated delivery delay (in days)"
"RNP Fee", "RNP Fee"
"Shipping Method Type", "Shipping Method Type"
"Shipping Method Details", "Shipping Method Details"
"An error occured during 3D-Secure processing of Ingenico ePayments.", "An error occured during 3D-Secure processing of Ingenico ePayments."
"Shipping method type", "Shipping method type"
"Shipping method speed", "Shipping Speed (in hours)"
"Shipping method details", "Shipping method details"
"shipping details not valid", "Shipping details not valid"
"shipping speed not valid", "Shipping speed not valid"
"shipping type not valid", "Shipping type not valid"
"Default Shipping Method Type", "Default Shipping Method Type"
"Default Shipping method speed", "Default Shipping Speed (in hours)"
"Default Shipping Method Details", "Default Shipping Method Details"
"Kwixo shipping setting", "Kwixo shipping setting"
"Don't forget to set your shipping method to use KWIXO in the best way", "Don't forget to set your shipping method to use KWIXO in the best way"
"Unknown country within the IBAN '%value%'", "Unknown country within the IBAN '%value%'"
"%value%' has a false IBAN format", "%value%' has a false IBAN format"
"'%value%' has failed the IBAN check", "'%value%' has failed the IBAN check"
"Country not supported for IBAN", "Country not supported for IBAN"
"invalid data provided", "Invalid data provided"
"Account holder must be provided", "Account holder must be provided"
"invalid BIC provided", "Invalid BIC provided"
"Invalid IBAN provided", "Invalid IBAN provided"
"Kwixo shipping method type", "Kwixo shipping method type"
"Shipping speed (in hours)", "Shipping speed (in hours)"
"Default Shipping speed (in hours)", "Default Shipping speed (in hours)"
"kwixo_apres_reception_description", ""
"kwixo_payement_en_1_fois_description", ""
"paiement_en_plusiers_fois_description", ""
"DirectLink Maintenance API URL", "DirectLink Maintenance API URL"
"Allow zero amount authorization", "Allow zero amount authorization"
"Only if payment action is authorize.", "Only available if payment action is set to authorize."
"Submit extra parameters", "Submit extra parameters"
"Enable this if you wish to use fraud detection", "Enable this if you wish to use fraud detection"
"The data you have provided can not be processed by Ingenico ePayments", "The data you have provided can not be processed by Ingenico ePayments"
"Test url example: https://secure.ogone.com/ncol/prod/querydirect.asp <br/>Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp", "Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp"
"Refresh payment status", "Refresh payment status"
"Ingenico ePayments status successfully updated", "Ingenico ePayments status successfully updated"
"revert state update to it\'s original one because of Ingenico ePayments\'s state restriction", "revert state update to it\'s original one because of Ingenico ePayments\'s state restriction"
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Data and origin verification</em>.","This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Data and origin verification</em>."
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Transaction feedback</em>.","This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Transaction feedback</em>."
"Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>.","Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>."
"Password which has been set in the Ingenico ePayments backend for above API user.","Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>."
"This setting will override the configuration in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global transaction parameters</em>.","This setting will override the configuration in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global transaction parameters</em>."
"Only enable this if you wish to use Fraud Detection.","Only enable this if you wish to use Fraud Detection."
"This will log requests and responses in /var/log/ops.log","This will log requests and responses in /var/log/ops.log"
"Make sure the global Magento logging is also enabled.","Make sure the global Magento logging is also enabled."
"If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments payment page.","If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments payment page."
"For the selected card types, the customer can enter the credit card details directly in the checkout.","For the selected card types, the customer can enter the credit card details directly in the checkout."
"If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password.","If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password."
"This sets if this payment method should also be available for orders from the Magento backend.","This sets if this payment method should also be available for orders from the Magento backend."
"Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed.","Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed."
"By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side.", "By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side."
"Additional Ingenico ePayments payment methods", "Additional Ingenico ePayments payment methods"
"A generic payment method, that lets the customer choose the exact method on Ingenico ePayments side.", "A generic payment method, that lets the customer choose the exact method on Ingenico ePayments side."
"Depending on the selection the extension will communicate with the Ingenico ePayments test or production service. Choose custom, if you have to use special urls for the gateway.", "Depending on the selection the extension will communicate with the Ingenico ePayments test or production service. Choose custom, if you have to use special urls for the gateway."
"prod", "Production"
"test", "Test"
"custom", "Custom"
"Mode", "Environment"
"<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>","<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>"
"Resend payment information", "Resend payment information"
"Ingenico ePayments resend payment information","Ingenico ePayments resend payment information"
"Payment information has been resend to customer.", "Payment information has been resend to customer."
"Payment information could not be sent.", "Payment information could not be sent."
"Resend payment information identity", "Resend payment information identity"
"Sender identity. See 'Store Email Adresses'.", "Sender identity. See 'Store Email Adresses'."
"Resend payment information template", "Resend payment information template"
"The email template to use. Choose 'Default Template from Locale' to use Ingenico ePayments extensions default template.", "The email template to use. Choose 'Default Template from Locale' to use Ingenico ePayments extensions default template."
"This payment method always uses direct sale as payment action.","This payment method always uses direct sale as payment action."
"Allow payment method for discounted carts. Please note that not all aquirers support transmission of discount items.","Allow payment method for discounted carts. Please note that not all aquirers support transmission of discount items."
"Maximum length for this field is 35 characters.", "Maximum length for this field is 35 characters."
"Enable state restriction","Enable state restriction"
"If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments status will get reverted. This can cause conflicts if you use custom order statuses.","If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments status will get reverted. This can cause conflicts if you use custom order statuses."
"FAILURE_TOKEN_FRONTEND","Your payment data could not be saved by Ingenico ePayments. Please <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>retry</a> or select another payment method."
"SUCCESS_TOKEN_FRONTEND","Your payment data is ready to be processed by Ingenico ePayments. You can <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>reset it</a> or still select another payment method."
"SUCCESS_TOKEN","Your payment data is ready to be processed by Ingenico ePayments. You can <a href='javascript:void(0)' onclick='payment.reloadIframe();'>reset it</a> or still select another payment method."
"FAILURE_TOKEN","Your payment data could not be saved by Ingenico ePayments. Please <a href='javascript:void(0)' onclick='payment.reloadIframe();'>retry</a> or select another payment method."
"LOAD_TOKEN", "Please wait, while we load the Ingenico ePayments payment form."
"If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments side.", "If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments side."
"Ingenico ePayments - Redirect mode", "Ingenico ePayments - Redirect mode"
"Magento - internal shop template", "Magento - internal shop template"
"Ingenico ePayments - iFrame mode", "Ingenico ePayments - iFrame mode"
"Ingenico ePayments - Dynamic template","Ingenico ePayments - Dynamic template"
"Enter the TemplateRootId you received from Ingenico ePayments or the url to an external template.", "Enter the TemplateRootId you received from Ingenico ePayments or the url to an external template."
"For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments servers. This does NOT affect the Hosted Tokenization iFrame (HTP).", "For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments servers. This does NOT affect the Hosted Tokenization iFrame (HTP)."
"With this setting the customer will enter the payment details on a page in your shop that hosts the Ingenico ePayments paypage in an iFrame. You can style the paypage through the parameters below.","With this setting the customer will enter the payment details on a page in your shop that hosts the Ingenico ePayments paypage in an iFrame. You can style the paypage through the parameters below."
"With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>", "With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>"
"With this setting the customer will be redirected to the Ingenico ePayments paypage. The look and feel of that page will be defined by a dynamically loaded template file that you can define below.","With this setting the customer will be redirected to the Ingenico ePayments paypage. The look and feel of that page will be defined by a dynamically loaded template file that you can define below."
"With this setting the customer will get redirected to Ingenico ePayments to enter his payment details. You can style the page through the parameters below.","With this setting the customer will get redirected to Ingenico ePayments to enter his payment details. You can style the page through the parameters below."
